strategy,total_cost_eur,grid_import_kwh,grid_export_kwh,event_import_kwh,event_export_kwh,avg_indoor_temp_c,cost_savings_vs_baseline_eur
baseline_rules,3194.7499416017004,38354.07133768802,0.0,6547.535102192318,0.0,21.0,0.0
optimized_lp,3043.3359804366173,40635.012703013796,1600.0,4357.748483147383,1600.0,20.64709111041037,151.41396116508304
